"","bullshit1","bullshit2","bullshit3","bullshit4","bullshit5","bullshit6","bullshit7","bullshit8","bullshit9","bullshit10","mundane1","mundane2","mundane3","mundane4","mundane5","mundane6","mundane7","mundane8","mundane9","mundane10","FavorablenessTrump","FavorablenessCruz","FavorablenessRubio","FavorablenessClinton","FavorablenessSanders","FavorablenessOMalley","Conservatism","age","sex","country","who_first_presented","MeanBullshit","MeanMundane"
"1",4,3,4,2,4,4,3,3,3,4,3,3,4,4,3,4,4,3,3,4,5,3,3,1,5,3,7,32,2,1,"Dem first",3.4,3.5
"2",2,1,1,2,1,1,1,3,1,2,2,3,3,3,2,2,3,2,4,3,1,1,1,2,5,1,1,34,1,1,"Rep first",1.5,2.7
"3",3,3,4,4,5,4,4,4,4,4,2,4,3,3,3,3,4,3,3,3,2,1,2,4,5,3,3,25,2,1,"Rep first",3.9,3.1
"4",2,4,2,3,3,4,2,4,3,3,4,3,3,4,3,4,4,4,3,3,2,3,2,4,5,3,3,24,2,1,"Rep first",3,3.5
"5",2,2,1,3,2,3,2,2,2,3,3,4,4,4,4,4,5,5,5,5,3,3,3,4,4,NA,1,35,2,1,"Dem first",2.2,4.3
"6",3,1,3,3,2,1,1,4,1,2,4,4,4,4,4,3,2,2,4,4,1,2,2,4,5,3,2,56,1,1,"Dem first",2.1,3.5
"7",3,2,1,1,2,4,3,3,2,4,3,5,4,2,2,3,2,1,3,1,3,4,3,1,1,3,6,48,2,1,"Dem first",2.5,2.6
"8",5,5,5,2,5,5,3,4,5,3,3,3,4,4,4,4,1,3,3,2,4,4,4,1,1,2,7,59,1,1,"Rep first",4.2,3.1
"9",2,1,2,1,1,1,1,1,2,1,3,2,2,1,2,1,1,3,2,2,4,1,1,4,5,3,2,55,2,1,"Rep first",1.3,1.9
"10",2,1,3,NA,1,1,3,4,1,1,4,3,2,1,3,2,4,3,3,4,1,1,4,3,1,2,5,51,2,1,"Dem first",1.88888888888889,2.9
"11",3,4,5,3,3,5,4,3,1,5,2,3,4,3,2,4,1,5,5,3,1,5,5,1,4,3,5,65,1,1,"Dem first",3.6,3.2
"12",3,4,4,4,5,4,3,4,4,4,2,5,5,5,4,4,5,5,4,5,2,5,4,1,1,1,5,57,1,1,"Dem first",3.9,4.4
"13",1,1,1,1,1,1,2,3,NA,2,3,4,3,3,3,4,4,3,5,4,1,1,1,1,4,2,3,22,2,1,"Dem first",1.44444444444444,3.6
"14",3,3,4,4,4,4,4,4,3,4,4,5,4,3,4,4,5,3,4,3,4,4,4,4,5,3,4,34,2,1,"Rep first",3.7,3.9
"15",3,2,3,1,2,4,1,4,1,2,2,3,3,1,3,4,2,3,4,1,1,2,2,4,5,3,2,25,2,1,"Rep first",2.3,2.6
"16",1,3,4,4,3,3,3,2,3,2,3,2,2,3,5,4,3,3,3,2,2,4,3,2,3,4,3,24,1,1,"Rep first",2.8,3
"17",2,3,4,3,3,4,3,3,4,3,3,3,4,3,1,4,3,4,3,2,2,2,2,4,3,3,3,23,2,1,"Dem first",3.2,3
"18",2,2,2,4,2,2,3,3,2,3,4,5,4,3,3,2,3,5,4,2,1,1,4,2,2,3,6,52,2,1,"Dem first",2.5,3.5
"19",3,3,4,4,4,2,2,4,3,3,4,4,3,3,2,3,3,2,2,4,3,3,3,4,3,3,4,24,2,1,"Rep first",3.2,3
"20",1,1,2,3,3,1,3,3,1,2,4,4,4,4,3,4,4,4,4,3,1,2,2,5,5,4,2,28,2,1,"Dem first",2,3.8
"21",2,2,2,3,2,1,1,4,3,5,5,5,5,5,4,4,2,5,5,2,1,2,2,2,3,NA,3,22,1,1,"Dem first",2.5,4.2
"22",4,3,3,3,5,4,5,4,4,3,3,2,3,4,2,2,2,2,3,3,1,1,2,4,5,2,2,29,2,1,"Dem first",3.8,2.6
"23",3,4,2,4,3,3,2,5,3,3,5,3,3,5,5,3,3,2,3,2,1,NA,NA,5,NA,NA,1,25,1,1,"Dem first",3.2,3.4
"24",3,2,3,1,NA,2,2,3,2,2,3,3,2,2,2,1,2,3,3,3,3,5,4,1,1,1,6,42,2,1,"Rep first",2.22222222222222,2.4
"25",3,2,3,3,3,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,5,4,3,64,1,1,"Rep first",2.8,4
"26",4,3,3,3,4,3,3,3,3,3,4,2,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,38,1,1,"Dem first",3.2,3.2
"27",2,3,3,4,3,2,3,4,3,4,4,2,4,2,3,3,2,4,4,4,2,4,3,2,4,3,4,32,1,1,"Dem first",3.1,3.2
"28",5,5,4,2,2,5,3,3,2,2,5,5,5,5,3,4,2,2,4,5,2,1,1,1,5,3,3,25,2,1,"Dem first",3.3,4
"29",2,1,2,3,3,2,4,4,3,2,2,5,5,2,3,2,4,2,2,3,2,1,2,3,4,5,3,62,2,1,"Rep first",2.6,3
"30",1,1,1,1,1,1,1,1,1,1,2,3,2,3,1,1,1,1,1,2,1,1,1,1,2,1,1,28,2,1,"Dem first",1,1.7
"31",4,2,3,1,3,2,1,1,4,1,2,2,1,2,1,2,3,2,3,1,4,4,NA,1,NA,NA,5,39,2,1,"Rep first",2.2,1.9
"32",1,3,2,1,3,2,1,3,2,4,4,2,3,3,4,3,2,3,3,4,5,3,3,4,3,2,3,25,2,1,"Dem first",2.2,3.1
"33",4,1,1,1,1,4,4,5,5,3,4,4,4,5,4,5,5,5,4,4,4,4,4,1,1,1,6,57,1,1,"Dem first",2.9,4.4
"34",4,4,3,3,4,3,3,3,4,4,3,4,3,2,4,4,4,4,4,3,3,1,2,3,4,3,4,38,1,1,"Rep first",3.5,3.5
"35",1,1,1,4,2,2,2,3,1,4,2,3,5,2,3,2,3,4,2,3,1,1,3,2,2,3,3,35,2,1,"Dem first",2.1,2.9
"36",3,3,2,2,4,3,3,4,3,3,2,3,4,3,3,2,1,3,2,2,1,3,3,4,5,1,4,33,1,1,"Rep first",3,2.5
"37",1,1,1,3,2,1,2,2,1,3,2,3,2,1,2,1,3,2,2,1,1,1,1,1,1,1,2,34,1,1,"Rep first",1.7,1.9
"38",3,4,3,3,3,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,2,27,2,1,"Rep first",3.5,5
"39",4,3,4,1,3,4,2,3,3,1,2,3,3,3,2,2,2,3,3,2,4,3,3,3,3,3,5,27,1,1,"Rep first",2.8,2.5
"40",5,3,4,1,5,5,5,3,5,2,3,5,5,1,2,1,1,4,3,2,1,1,3,1,3,1,4,33,2,1,"Dem first",3.8,2.7
"41",3,1,1,4,2,1,2,3,2,3,3,4,2,3,4,1,2,4,3,5,4,5,3,1,3,2,6,33,2,1,"Dem first",2.2,3.1
"42",3,3,5,4,4,3,2,4,3,2,3,3,5,4,4,4,3,2,4,3,1,1,2,3,4,NA,2,29,1,1,"Rep first",3.3,3.5
"43",3,2,2,1,3,2,4,4,3,2,1,5,4,2,5,4,2,5,5,4,1,2,5,1,2,3,5,60,2,1,"Rep first",2.6,3.7
"44",3,2,2,1,2,4,3,2,3,4,4,4,4,4,4,4,5,3,5,4,2,3,3,1,4,4,5,49,1,1,"Dem first",2.6,4.1
"45",3,NA,2,2,2,3,3,1,2,3,4,3,3,4,2,3,1,2,3,3,1,1,1,4,1,3,4,30,2,1,"Dem first",2.33333333333333,2.8
"46",3,1,2,1,2,3,4,3,3,2,4,4,3,3,3,2,1,2,3,3,1,1,1,1,1,1,3,35,2,1,"Rep first",2.4,2.8
"47",5,5,5,3,5,1,1,3,1,1,2,2,2,2,2,1,2,4,5,1,1,1,1,2,5,NA,2,62,1,1,"Rep first",3,2.3
"48",3,1,1,3,3,4,2,3,3,5,5,5,5,5,3,4,3,4,4,4,5,1,1,4,1,1,1,28,1,1,"Rep first",2.8,4.2
"49",4,3,3,2,3,2,4,2,1,2,4,3,3,4,3,2,3,4,4,3,2,1,2,4,1,1,4,66,1,1,"Rep first",2.6,3.3
"50",1,1,1,4,1,1,1,4,1,1,3,2,3,1,2,3,3,4,2,1,1,1,5,1,2,3,7,57,2,1,"Dem first",1.6,2.4
"51",5,4,3,2,2,4,5,4,5,3,3,4,2,2,2,1,1,1,3,2,1,1,2,3,NA,NA,1,47,2,1,"Dem first",3.7,2.1
"52",3,2,3,2,3,4,3,2,4,2,2,2,2,3,2,3,2,2,3,4,5,4,4,1,1,1,7,30,2,1,"Dem first",2.8,2.5
"53",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,5,1,1,24,2,1,"Dem first",5,5
"54",3,3,4,2,3,3,3,4,3,2,3,3,2,4,4,3,1,2,3,3,1,3,3,4,4,3,2,28,2,1,"Rep first",3,2.8
"55",4,3,3,1,2,4,3,3,4,4,3,4,4,3,4,3,1,4,4,3,5,5,3,1,2,3,6,63,1,1,"Rep first",3.1,3.3
"56",2,1,3,2,3,2,2,1,1,1,3,4,2,1,1,1,1,1,2,1,4,1,5,2,4,2,4,36,2,1,"Rep first",1.8,1.7
"57",4,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,4,4,2,2,3,3,3,2,3,3,4,33,1,1,"Rep first",1.5,2.2
"58",1,1,1,1,1,3,3,1,1,5,5,5,5,1,3,4,4,5,5,3,1,1,3,5,5,3,2,65,1,1,"Dem first",1.8,4
"59",2,1,1,1,1,2,1,2,1,2,2,2,3,3,3,3,2,3,3,3,1,2,2,4,2,NA,3,41,1,1,"Dem first",1.4,2.7
"60",2,2,1,1,1,2,1,2,4,3,2,3,3,4,3,2,1,2,2,2,1,1,1,4,5,3,1,36,2,1,"Rep first",1.9,2.4
"61",2,2,3,4,4,4,5,5,4,3,4,3,3,2,2,4,2,2,3,4,1,1,1,4,5,4,2,23,1,1,"Rep first",3.6,2.9
"62",1,2,2,4,1,4,3,3,2,3,4,5,5,3,5,3,5,2,5,5,4,3,3,4,3,NA,3,61,1,1,"Rep first",2.5,4.2
"63",2,2,3,2,4,3,4,4,4,4,5,4,4,5,4,4,3,3,3,4,5,5,3,1,1,1,7,22,2,1,"Rep first",3.2,3.9
"64",1,1,1,1,1,1,1,2,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA," ",1.1,1.4
"65",3,2,3,2,3,5,5,4,1,3,4,3,5,1,4,3,2,1,4,5,3,1,1,1,2,1,4,51,2,1,"Dem first",3.1,3.2
"66",1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,31,2,1,"Rep first",1,1.3
"67",1,1,1,4,1,1,1,1,1,5,5,5,5,1,5,1,1,5,4,5,4,4,3,1,2,1,6,63,2,1,"Rep first",1.7,3.7
"68",2,1,2,1,1,1,2,2,2,1,2,3,3,3,3,3,1,2,3,2,1,1,2,4,5,4,2,34,2,1,"Dem first",1.5,2.5
"69",2,2,3,4,3,2,2,4,3,3,2,3,3,3,3,3,3,3,2,2,2,2,4,4,5,NA,5,18,2,1,"Dem first",2.8,2.7
"70",1,1,3,1,1,4,4,5,1,1,5,5,5,2,4,4,4,5,5,5,1,1,4,2,4,3,1,47,1,1,"Rep first",2.2,4.4
"71",2,2,3,3,3,1,3,4,1,2,4,3,4,2,4,3,1,2,4,4,1,2,2,4,3,NA,3,22,1,1,"Rep first",2.4,3.1
"72",1,1,1,2,1,1,2,3,1,1,2,2,3,2,1,1,1,3,1,1,1,1,1,2,5,1,1,26,1,1,"Dem first",1.4,1.7
"73",3,4,3,4,4,4,3,2,3,4,4,3,4,4,3,3,3,3,4,4,1,1,1,3,5,4,1,21,2,1,"Rep first",3.4,3.5
"74",2,2,2,2,2,3,2,3,2,3,3,3,3,2,2,3,2,3,3,3,1,1,1,5,5,5,1,28,2,1,"Rep first",2.3,2.7
"75",3,2,3,2,4,4,3,3,4,4,4,4,3,3,3,3,3,4,4,2,5,1,1,1,3,2,4,40,1,1,"Dem first",3.2,3.3
"76",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,5,5,3,2,62,1,1,"Rep first",5,5
"77",3,1,4,3,1,2,1,4,1,4,1,5,4,3,2,2,4,5,5,4,1,1,2,4,5,3,2,31,1,1,"Dem first",2.4,3.5
"78",2,2,3,3,4,3,1,3,3,3,2,3,4,3,5,4,2,3,3,2,1,1,1,4,5,4,1,22,1,1,"Dem first",2.7,3.1
"79",4,5,5,5,4,4,5,5,NA,5,4,5,5,5,4,5,5,5,4,5,4,5,5,5,4,5,7,36,2,1,"Dem first",4.66666666666667,4.7
"80",1,3,5,3,2,4,2,4,3,2,1,4,3,2,2,3,2,4,5,4,4,4,4,1,1,1,7,19,2,1,"Dem first",2.9,3
"81",3,4,4,3,4,4,3,3,4,2,4,4,3,3,4,3,2,2,3,3,2,2,2,1,4,1,5,20,2,1,"Dem first",3.4,3.1
"82",3,3,3,4,3,3,3,4,3,3,4,3,3,4,3,3,4,4,3,4,1,NA,4,4,4,4,4,31,2,1,"Rep first",3.2,3.5
"83",2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,4,3,4,2,3,3,3,3,3,3,4,40,2,1,"Dem first",2,3.4
"84",1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,5,1,1,23,1,1,"Rep first",1.1,1.4
"85",2,2,1,2,2,2,2,3,2,3,3,5,4,3,3,2,2,2,2,2,1,1,1,4,5,3,3,29,2,1,"Dem first",2.1,2.8
"86",2,3,3,3,2,2,1,2,3,2,4,4,4,3,4,2,4,4,5,2,1,1,1,2,5,3,4,37,2,1,"Rep first",2.3,3.6
"87",1,2,1,2,3,3,4,2,2,4,5,5,5,5,3,2,4,3,3,2,4,1,1,2,5,3,1,29,2,1,"Dem first",2.4,3.7
"88",2,1,1,3,1,1,2,3,1,2,3,3,2,4,1,1,1,2,3,1,1,1,2,2,5,3,1,28,1,1,"Dem first",1.7,2.1
"89",5,3,1,1,5,2,2,2,1,3,5,4,4,5,5,2,4,2,5,2,5,3,1,1,3,1,7,26,2,1,"Dem first",2.5,3.8
"90",1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,5,5,5,5,1,1,2,3,4,3,2,29,0,1,"Dem first",1,4.9
"91",2,3,NA,1,4,2,2,3,3,2,3,4,5,2,5,2,4,4,5,3,1,1,3,1,5,4,1,24,2,1,"Dem first",2.44444444444444,3.7
"92",2,1,1,NA,2,2,2,2,2,2,1,3,3,2,3,2,2,4,4,2,1,1,4,3,2,NA,4,44,2,1,"Dem first",1.77777777777778,2.6
"93",4,2,5,2,2,4,5,2,3,4,1,3,4,3,2,4,2,3,4,2,5,1,1,1,5,1,4,24,2,1,"Rep first",3.3,2.8
"94",2,2,1,2,2,1,1,1,1,3,1,1,1,2,1,3,1,3,4,5,4,5,4,1,2,2,3,74,2,1,"Dem first",1.6,2.2
"95",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,3,2,27,1,1,"Rep first",5,5
"96",1,2,2,1,1,5,2,2,1,4,4,5,5,5,5,5,5,5,5,5,1,1,2,2,4,1,4,25,2,1,"Dem first",2.1,4.9
